hallmark_name	anova_f_statistic	anova_p_value	cg	library_type	anova_p_value_bonferroni	significant_anova
HALLMARK_ADIPOGENESIS	1.1994236270495031	0.3368157057545012	Medulloblastoma	merged	1	FALSE
HALLMARK_ALLOGRAFT_REJECTION	0.063810638790415	0.9783324240940245	Medulloblastoma	merged	1	FALSE
HALLMARK_ANDROGEN_RESPONSE	1.767957644282513	0.18738399660288255	Medulloblastoma	merged	1	FALSE
HALLMARK_ANGIOGENESIS	0.4838729715832101	0.6974358810730252	Medulloblastoma	merged	1	FALSE
HALLMARK_APICAL_JUNCTION	0.8677202594555565	0.4749738962216489	Medulloblastoma	merged	1	FALSE
HALLMARK_APICAL_SURFACE	1.200467387157631	0.33645055737103297	Medulloblastoma	merged	1	FALSE
HALLMARK_APOPTOSIS	0.17946679766725748	0.9089996250935648	Medulloblastoma	merged	1	FALSE
HALLMARK_BILE_ACID_METABOLISM	2.2686840936377006	0.11341680488721725	Medulloblastoma	merged	1	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.19773619958806166	0.8966290321501214	Medulloblastoma	merged	1	FALSE
HALLMARK_COAGULATION	0.10812967588424938	0.9543059949820316	Medulloblastoma	merged	1	FALSE
HALLMARK_COMPLEMENT	0.20653584620487664	0.8905987317351582	Medulloblastoma	merged	1	FALSE
HALLMARK_DNA_REPAIR	5.0386400950687475	0.009778161463321349	Medulloblastoma	merged	0.48890807316606744	FALSE
HALLMARK_E2F_TARGETS	0.9434892636095482	0.4392708361780705	Medulloblastoma	merged	1	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.5933937708636541	0.626944332869211	Medulloblastoma	merged	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.08363867699639105	0.9681352074211647	Medulloblastoma	merged	1	FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE	0.15245224710495425	0.9268222007961808	Medulloblastoma	merged	1	FALSE
HALLMARK_FATTY_ACID_METABOLISM	3.538291581885426	0.03445074650070656	Medulloblastoma	merged	1	FALSE
HALLMARK_G2M_CHECKPOINT	1.2415440649346643	0.3223922050406112	Medulloblastoma	merged	1	FALSE
HALLMARK_GLYCOLYSIS	0.2228609515034217	0.8793107789267334	Medulloblastoma	merged	1	FALSE
HALLMARK_HEDGEHOG_SIGNALING	2.4721281428772266	0.09294877261813733	Medulloblastoma	merged	1	FALSE
HALLMARK_HEME_METABOLISM	2.367797141778724	0.10289757846742802	Medulloblastoma	merged	1	FALSE
HALLMARK_HYPOXIA	1.0710602648227523	0.38487117945812366	Medulloblastoma	merged	1	FALSE
HALLMARK_IL2_STAT5_SIGNALING	0.1041434938116808	0.9566353767153326	Medulloblastoma	merged	1	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.24170841571414903	0.8661498248311843	Medulloblastoma	merged	1	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	0.13050971909746265	0.9407557368237192	Medulloblastoma	merged	1	FALSE
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.4893696089884531	0.6937781830487851	Medulloblastoma	merged	1	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.2313417262547312	0.8734035056683074	Medulloblastoma	merged	1	FALSE
HALLMARK_KRAS_SIGNALING_DN	1.310232081782948	0.3001978776357258	Medulloblastoma	merged	1	FALSE
HALLMARK_KRAS_SIGNALING_UP	0.23715306219121768	0.8693413099496977	Medulloblastoma	merged	1	FALSE
HALLMARK_MITOTIC_SPINDLE	2.6448255953119655	0.07868887724658737	Medulloblastoma	merged	1	FALSE
HALLMARK_MTORC1_SIGNALING	0.6574166025426169	0.5882489203072351	Medulloblastoma	merged	1	FALSE
HALLMARK_MYC_TARGETS_V1	0.2605266851151427	0.8529104686902267	Medulloblastoma	merged	1	FALSE
HALLMARK_MYC_TARGETS_V2	1.9107123156442156	0.16212232701094745	Medulloblastoma	merged	1	FALSE
HALLMARK_MYOGENESIS	0.9479343456702004	0.4372568650064569	Medulloblastoma	merged	1	FALSE
HALLMARK_NOTCH_SIGNALING	0.8696926038306485	0.4740111296298708	Medulloblastoma	merged	1	FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	5.894210966265995	0.005081586465126096	Medulloblastoma	merged	0.25407932325630483	FALSE
HALLMARK_P53_PATHWAY	0.045628349628010115	0.9866521021705315	Medulloblastoma	merged	1	FALSE
HALLMARK_PANCREAS_BETA_CELLS	6.499289520132194	0.0032781681380687085	Medulloblastoma	merged	0.16390840690343542	FALSE
HALLMARK_PEROXISOME	7.258247125736527	0.001941723822328689	Medulloblastoma	merged	0.09708619111643446	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	4.3434673311084655	0.01719923427809977	Medulloblastoma	merged	0.8599617139049884	FALSE
HALLMARK_PROTEIN_SECRETION	5.538911343929533	0.006634519304344918	Medulloblastoma	merged	0.3317259652172459	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.522810916928241	0.6717860110640473	Medulloblastoma	merged	1	FALSE
HALLMARK_SPERMATOGENESIS	0.33798985785824665	0.7980659650174522	Medulloblastoma	merged	1	FALSE
HALLMARK_TGF_BETA_SIGNALING	0.25308208608897964	0.8581574345845113	Medulloblastoma	merged	1	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.2825203595897874	0.8373594270463353	Medulloblastoma	merged	1	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	2.2676986563721435	0.11352702259530074	Medulloblastoma	merged	1	FALSE
HALLMARK_UV_RESPONSE_DN	0.859324049654314	0.4790926171373018	Medulloblastoma	merged	1	FALSE
HALLMARK_UV_RESPONSE_UP	0.6010801626586562	0.6221970087809356	Medulloblastoma	merged	1	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.0339663640958718	0.3999770212248137	Medulloblastoma	merged	1	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	0.6898975190793681	0.569364239061851	Medulloblastoma	merged	1	FALSE
HALLMARK_ADIPOGENESIS	2.543660899800225	0.08111974347224099	Medulloblastoma	stranded	1	FALSE
HALLMARK_ALLOGRAFT_REJECTION	1.1580509440618725	0.34711625755415654	Medulloblastoma	stranded	1	FALSE
HALLMARK_ANDROGEN_RESPONSE	2.5402003548066467	0.08140511423235404	Medulloblastoma	stranded	1	FALSE
HALLMARK_ANGIOGENESIS	4.161406318194142	0.01711363695059301	Medulloblastoma	stranded	0.8556818475296504	FALSE
HALLMARK_APICAL_JUNCTION	4.354475942906903	0.014375447858095462	Medulloblastoma	stranded	0.7187723929047731	FALSE
HALLMARK_APICAL_SURFACE	2.2140215183583067	0.11371960871755366	Medulloblastoma	stranded	1	FALSE
HALLMARK_APOPTOSIS	2.5117588687719663	0.08379125630191965	Medulloblastoma	stranded	1	FALSE
HALLMARK_BILE_ACID_METABOLISM	1.3155879910073873	0.293422549737078	Medulloblastoma	stranded	1	FALSE
